cc,icd,version,year
9,1521,9,2016
9,1522,9,2016
9,1523,9,2016
9,1528,9,2016
9,1529,9,2016
11,1530,9,2016
11,1531,9,2016
11,1532,9,2016
11,1533,9,2016
11,1534,9,2016
11,1535,9,2016
11,1536,9,2016
11,1537,9,2016
11,1538,9,2016
11,1539,9,2016
11,1540,9,2016
11,1541,9,2016
11,1542,9,2016
11,1543,9,2016
11,1548,9,2016
9,1550,9,2016
9,1551,9,2016
9,1552,9,2016
9,1560,9,2016
9,1561,9,2016
9,1562,9,2016
9,1568,9,2016
9,1569,9,2016
9,1570,9,2016
9,1571,9,2016
9,1572,9,2016
9,1573,9,2016
9,1574,9,2016
9,1578,9,2016
9,1579,9,2016
9,1580,9,2016
9,1588,9,2016
9,1589,9,2016
11,1590,9,2016
11,1591,9,2016
11,1598,9,2016
11,1599,9,2016
11,1600,9,2016
11,1601,9,2016
11,1602,9,2016
11,1603,9,2016
11,1604,9,2016
11,1605,9,2016
11,1608,9,2016
11,1609,9,2016
11,1610,9,2016
11,1611,9,2016
11,1612,9,2016
11,1613,9,2016
11,1618,9,2016
11,1619,9,2016
9,1620,9,2016
9,1622,9,2016
9,1623,9,2016
9,1624,9,2016
9,1625,9,2016
9,1628,9,2016
9,1629,9,2016
9,1630,9,2016
9,1631,9,2016
9,1638,9,2016
9,1639,9,2016
11,1640,9,2016
11,1641,9,2016
11,1642,9,2016
11,1643,9,2016
11,1648,9,2016
11,1649,9,2016
11,1650,9,2016
11,1658,9,2016
11,1659,9,2016
10,1700,9,2016
10,1701,9,2016
10,1702,9,2016
10,1703,9,2016
10,1704,9,2016
10,1705,9,2016
10,1706,9,2016
10,1707,9,2016
10,1708,9,2016
10,1709,9,2016
10,1710,9,2016
10,1712,9,2016
10,1713,9,2016
10,1714,9,2016
10,1715,9,2016
10,1716,9,2016
10,1717,9,2016
10,1718,9,2016
10,1719,9,2016
12,1720,9,2016
12,1721,9,2016
12,1722,9,2016
12,1723,9,2016
12,1724,9,2016
12,1725,9,2016
12,1726,9,2016
12,1727,9,2016
12,1728,9,2016
12,1729,9,2016
12,1740,9,2016
12,1741,9,2016
12,1742,9,2016
12,1743,9,2016
12,1744,9,2016
12,1745,9,2016
12,1746,9,2016
12,1748,9,2016
12,1749,9,2016
12,1750,9,2016
12,1759,9,2016
10,1760,9,2016
10,1761,9,2016
10,1762,9,2016
10,1763,9,2016
10,1764,9,2016
10,1765,9,2016
10,1768,9,2016
10,1769,9,2016
12,179,9,2016
11,1800,9,2016
11,1801,9,2016
11,1808,9,2016
11,1809,9,2016
10,181,9,2016
12,1820,9,2016
12,1821,9,2016
12,1828,9,2016
10,1830,9,2016
10,1832,9,2016
10,1833,9,2016
10,1834,9,2016
10,1835,9,2016
10,1838,9,2016
10,1839,9,2016
11,1840,9,2016
11,1841,9,2016
11,1842,9,2016
11,1843,9,2016
11,1844,9,2016
11,1848,9,2016
11,1849,9,2016
12,185,9,2016
12,1860,9,2016
12,1869,9,2016
12,1871,9,2016
12,1872,9,2016
12,1873,9,2016
12,1874,9,2016
12,1875,9,2016
12,1876,9,2016
12,1877,9,2016
12,1878,9,2016
12,1879,9,2016
11,1880,9,2016
11,1881,9,2016
11,1882,9,2016
11,1883,9,2016
11,1884,9,2016
11,1885,9,2016
11,1886,9,2016
11,1887,9,2016
11,1888,9,2016
11,1889,9,2016
11,1890,9,2016
11,1891,9,2016
11,1892,9,2016
11,1893,9,2016
11,1894,9,2016
11,1898,9,2016
11,1899,9,2016
12,1900,9,2016
12,1901,9,2016
12,1902,9,2016
12,1903,9,2016
12,1904,9,2016
12,1905,9,2016
12,1906,9,2016
12,1907,9,2016
12,1908,9,2016
12,1909,9,2016
10,1910,9,2016
10,1911,9,2016
10,1912,9,2016
10,1913,9,2016
10,1914,9,2016
10,1915,9,2016
10,1916,9,2016
10,1917,9,2016
10,1918,9,2016
10,1919,9,2016
10,1920,9,2016
10,1921,9,2016
10,1922,9,2016
10,1923,9,2016
10,1928,9,2016
10,1929,9,2016
12,193,9,2016
10,1940,9,2016
12,1941,9,2016
10,1943,9,2016
10,1944,9,2016
12,1945,9,2016
12,1946,9,2016
12,1948,9,2016
12,1949,9,2016
12,1950,9,2016
12,1951,9,2016
12,1952,9,2016
12,1953,9,2016
12,1954,9,2016
12,1955,9,2016
12,1958,9,2016
8,1960,9,2016
8,1961,9,2016
8,1962,9,2016
10,1963,9,2016
8,1965,9,2016
8,1966,9,2016
8,1968,9,2016
10,1969,9,2016
8,1970,9,2016
8,1971,9,2016
8,1972,9,2016
8,1973,9,2016
8,1974,9,2016
8,1975,9,2016
8,1976,9,2016
8,1977,9,2016
8,1978,9,2016
8,1980,9,2016
8,1981,9,2016
10,1982,9,2016
8,1983,9,2016
8,1984,9,2016
8,1985,9,2016
8,1986,9,2016
8,1987,9,2016
10,19881,9,2016
10,19882,9,2016
8,19889,9,2016
8,1990,9,2016
12,1991,9,2016
12,1992,9,2016
10,20000,9,2016
10,20001,9,2016
10,20002,9,2016
10,20003,9,2016
10,20004,9,2016
10,20005,9,2016
10,20006,9,2016
10,20007,9,2016
10,20008,9,2016
10,20010,9,2016
10,20011,9,2016
10,20012,9,2016
10,20013,9,2016
10,20014,9,2016
10,20015,9,2016
10,20016,9,2016
10,20017,9,2016
10,20018,9,2016
10,20020,9,2016
10,20021,9,2016
10,20022,9,2016
10,20023,9,2016
10,20024,9,2016
10,20025,9,2016
10,20026,9,2016
10,20027,9,2016
10,20028,9,2016
10,20030,9,2016
10,20031,9,2016
10,20032,9,2016
10,20033,9,2016
10,20034,9,2016
10,20035,9,2016
10,20036,9,2016
10,20037,9,2016
10,20038,9,2016
10,20040,9,2016
10,20041,9,2016
10,20042,9,2016
10,20043,9,2016
10,20044,9,2016
10,20045,9,2016
10,20046,9,2016
10,20047,9,2016
10,20048,9,2016
10,20050,9,2016
10,20051,9,2016
10,20052,9,2016
10,20053,9,2016
10,20054,9,2016
10,20055,9,2016
10,20056,9,2016
10,20057,9,2016
10,20058,9,2016
10,20060,9,2016
10,20061,9,2016
10,20062,9,2016
10,20063,9,2016
10,20064,9,2016
10,20065,9,2016
10,20066,9,2016
10,20067,9,2016
10,20068,9,2016
10,20070,9,2016
10,20071,9,2016
10,20072,9,2016
10,20073,9,2016
10,20074,9,2016
10,20075,9,2016
10,20076,9,2016
10,20077,9,2016
10,20078,9,2016
10,20080,9,2016
10,20081,9,2016
10,20082,9,2016
10,20083,9,2016
10,20084,9,2016
10,20085,9,2016
10,20086,9,2016
10,20087,9,2016
10,20088,9,2016
10,20100,9,2016
10,20101,9,2016
10,20102,9,2016
10,20103,9,2016
10,20104,9,2016
10,20105,9,2016
10,20106,9,2016
10,20107,9,2016
10,20108,9,2016
10,20110,9,2016
10,20111,9,2016
10,20112,9,2016
10,20113,9,2016
10,20114,9,2016
10,20115,9,2016
10,20116,9,2016
10,20117,9,2016
10,20118,9,2016
10,20120,9,2016
10,20121,9,2016
10,20122,9,2016
10,20123,9,2016
10,20124,9,2016
10,20125,9,2016
10,20126,9,2016
10,20127,9,2016
10,20128,9,2016
10,20140,9,2016
10,20141,9,2016
10,20142,9,2016
10,20143,9,2016
10,20144,9,2016
10,20145,9,2016
10,20146,9,2016
10,20147,9,2016
10,20148,9,2016
10,20150,9,2016
10,20151,9,2016
10,20152,9,2016
10,20153,9,2016
10,20154,9,2016
10,20155,9,2016
10,20156,9,2016
10,20157,9,2016
10,20158,9,2016
10,20160,9,2016
10,20161,9,2016
10,20162,9,2016
10,20163,9,2016
10,20164,9,2016
10,20165,9,2016
10,20166,9,2016
10,20167,9,2016
10,20168,9,2016
10,20170,9,2016
10,20171,9,2016
10,20172,9,2016
10,20173,9,2016
10,20174,9,2016
10,20175,9,2016
10,20176,9,2016
10,20177,9,2016
10,20178,9,2016
10,20190,9,2016
10,20191,9,2016
10,20192,9,2016
10,20193,9,2016
10,20194,9,2016
10,20195,9,2016
10,20196,9,2016
10,20197,9,2016
10,20198,9,2016
10,20200,9,2016
10,20201,9,2016
10,20202,9,2016
10,20203,9,2016
10,20204,9,2016
10,20205,9,2016
10,20206,9,2016
10,20207,9,2016
10,20208,9,2016
10,20210,9,2016
10,20211,9,2016
10,20212,9,2016
10,20213,9,2016
10,20214,9,2016
10,20215,9,2016
10,20216,9,2016
10,20217,9,2016
10,20218,9,2016
10,20220,9,2016
10,20221,9,2016
10,20222,9,2016
10,20223,9,2016
10,20224,9,2016
10,20225,9,2016
10,20226,9,2016
10,20227,9,2016
10,20228,9,2016
10,20230,9,2016
10,20231,9,2016
10,20232,9,2016
10,20233,9,2016
10,20234,9,2016
10,20235,9,2016
10,20236,9,2016
10,20237,9,2016
10,20238,9,2016
10,20240,9,2016
10,20241,9,2016
10,20242,9,2016
10,20243,9,2016
10,20244,9,2016
10,20245,9,2016
10,20246,9,2016
10,20247,9,2016
10,20248,9,2016
10,20250,9,2016
10,20251,9,2016
10,20252,9,2016
10,20253,9,2016
10,20254,9,2016
10,20255,9,2016
10,20256,9,2016
10,20257,9,2016
10,20258,9,2016
10,20260,9,2016
10,20261,9,2016
10,20262,9,2016
10,20263,9,2016
10,20264,9,2016
10,20265,9,2016
10,20266,9,2016
10,20267,9,2016
10,20268,9,2016
10,20270,9,2016
10,20271,9,2016
10,20272,9,2016
10,20273,9,2016
10,20274,9,2016
10,20275,9,2016
10,20276,9,2016
10,20277,9,2016
10,20278,9,2016
10,20280,9,2016
10,20281,9,2016
10,20282,9,2016
10,20283,9,2016
10,20284,9,2016
10,20285,9,2016
10,20286,9,2016
10,20287,9,2016
10,20288,9,2016
10,20290,9,2016
10,20291,9,2016
10,20292,9,2016
10,20293,9,2016
10,20294,9,2016
10,20295,9,2016
10,20296,9,2016
10,20297,9,2016
10,20298,9,2016
9,20300,9,2016
9,20301,9,2016
9,20302,9,2016
9,20310,9,2016
9,20311,9,2016
9,20312,9,2016
9,20380,9,2016
9,20381,9,2016
9,20382,9,2016
8,20400,9,2016
8,20401,9,2016
8,20402,9,2016
10,20410,9,2016
10,20411,9,2016
10,20412,9,2016
10,20420,9,2016
10,20421,9,2016
10,20422,9,2016
10,20480,9,2016
10,20481,9,2016
10,20482,9,2016
10,20490,9,2016
10,20491,9,2016
10,20492,9,2016
8,20500,9,2016
8,20501,9,2016
8,20502,9,2016
9,20510,9,2016
9,20511,9,2016
9,20512,9,2016
9,20520,9,2016
9,20521,9,2016
9,20522,9,2016
9,20530,9,2016
9,20531,9,2016
9,20532,9,2016
9,20580,9,2016
9,20581,9,2016
9,20582,9,2016
9,20590,9,2016
9,20591,9,2016
9,20592,9,2016
8,20600,9,2016
8,20601,9,2016
8,20602,9,2016
9,20610,9,2016
9,20611,9,2016
9,20612,9,2016
9,20620,9,2016
9,20621,9,2016
9,20622,9,2016
9,20680,9,2016
9,20681,9,2016
9,20682,9,2016
9,20690,9,2016
9,20691,9,2016
9,20692,9,2016
8,20700,9,2016
8,20701,9,2016
8,20702,9,2016
9,20710,9,2016
9,20711,9,2016
9,20712,9,2016
9,20720,9,2016
9,20721,9,2016
9,20722,9,2016
9,20780,9,2016
9,20781,9,2016
9,20782,9,2016
8,20800,9,2016
8,20801,9,2016
8,20802,9,2016
10,20810,9,2016
10,20811,9,2016
10,20812,9,2016
10,20820,9,2016
10,20821,9,2016
10,20822,9,2016
10,20880,9,2016
10,20881,9,2016
10,20882,9,2016
10,20890,9,2016
10,20891,9,2016
10,20892,9,2016
12,20900,9,2016
12,20901,9,2016
12,20902,9,2016
12,20903,9,2016
12,20910,9,2016
12,20911,9,2016
12,20912,9,2016
12,20913,9,2016
12,20914,9,2016
12,20915,9,2016
12,20916,9,2016
12,20917,9,2016
12,20920,9,2016
12,20921,9,2016
12,20922,9,2016
12,20923,9,2016
12,20924,9,2016
12,20925,9,2016
12,20926,9,2016
12,20927,9,2016
12,20929,9,2016
12,20930,9,2016
12,20931,9,2016
12,20932,9,2016
12,20933,9,2016
12,20934,9,2016
12,20935,9,2016
12,20936,9,2016
8,20970,9,2016
8,20971,9,2016
8,20972,9,2016
8,20973,9,2016
8,20974,9,2016
8,20975,9,2016
8,20979,9,2016
12,2250,9,2016
12,2251,9,2016
12,2252,9,2016
12,2253,9,2016
12,2254,9,2016
12,2258,9,2016
12,2259,9,2016
12,2273,9,2016
12,2274,9,2016
12,22802,9,2016
12,2370,9,2016
12,2371,9,2016
12,2373,9,2016
12,2375,9,2016
12,2376,9,2016
12,23770,9,2016
12,23771,9,2016
12,23772,9,2016
12,23773,9,2016
12,23779,9,2016
12,2379,9,2016
48,2384,9,2016
48,23871,9,2016
46,23872,9,2016
46,23873,9,2016
46,23874,9,2016
46,23875,9,2016
46,23876,9,2016
48,23877,9,2016
48,23879,9,2016
12,2396,9,2016
19,24900,9,2016
19,24901,9,2016
17,24910,9,2016
17,24911,9,2016
17,24920,9,2016
17,24921,9,2016
17,24930,9,2016
17,24931,9,2016
18,24940,9,2016
18,24941,9,2016
18,24950,9,2016
18,24951,9,2016
18,24960,9,2016
18,24961,9,2016
18,24970,9,2016
18,24971,9,2016
18,24980,9,2016
18,24981,9,2016
18,24990,9,2016
18,24991,9,2016
19,25000,9,2016
19,25001,9,2016
19,25002,9,2016
19,25003,9,2016
17,25010,9,2016
17,25011,9,2016
17,25012,9,2016
17,25013,9,2016
17,25020,9,2016
17,25021,9,2016
17,25022,9,2016
17,25023,9,2016
17,25030,9,2016
17,25031,9,2016
17,25032,9,2016
17,25033,9,2016
18,25040,9,2016
18,25041,9,2016
18,25042,9,2016
18,25043,9,2016
18,25050,9,2016
18,25051,9,2016
18,25052,9,2016
18,25053,9,2016
18,25060,9,2016
18,25061,9,2016
18,25062,9,2016
18,25063,9,2016
18,25070,9,2016
18,25071,9,2016
18,25072,9,2016
18,25073,9,2016
18,25080,9,2016
18,25081,9,2016
18,25082,9,2016
18,25083,9,2016
18,25090,9,2016
18,25091,9,2016
18,25092,9,2016
18,25093,9,2016
23,2510,9,2016
23,25200,9,2016
23,25201,9,2016
23,25202,9,2016
23,25208,9,2016
23,2521,9,2016
23,2528,9,2016
23,2529,9,2016
23,2530,9,2016
23,2531,9,2016
23,2532,9,2016
23,2533,9,2016
23,2534,9,2016
23,2535,9,2016
23,2536,9,2016
23,2537,9,2016
23,2538,9,2016
23,2539,9,2016
23,2540,9,2016
23,2541,9,2016
23,2548,9,2016
23,2549,9,2016
23,2550,9,2016
23,25510,9,2016
23,25511,9,2016
23,25512,9,2016
23,25513,9,2016
23,25514,9,2016
23,2552,9,2016
23,2553,9,2016
23,25541,9,2016
23,25542,9,2016
23,2555,9,2016
23,2556,9,2016
23,2558,9,2016
23,2559,9,2016
23,25801,9,2016
23,25802,9,2016
23,25803,9,2016
23,2581,9,2016
23,2588,9,2016
23,2589,9,2016
12,2592,9,2016
21,260,9,2016
21,261,9,2016
21,262,9,2016
21,2630,9,2016
21,2631,9,2016
21,2632,9,2016
21,2638,9,2016
21,2639,9,2016
23,2700,9,2016
23,2701,9,2016
23,2702,9,2016
23,2703,9,2016
23,2704,9,2016
23,2705,9,2016
23,2706,9,2016
23,2707,9,2016
23,2708,9,2016
23,2709,9,2016
23,2710,9,2016
23,2711,9,2016
23,2714,9,2016
23,2718,9,2016
23,2719,9,2016
23,2727,9,2016
23,2732,9,2016
23,2733,9,2016
23,2734,9,2016
23,27501,9,2016
110,27700,9,2016
110,27701,9,2016
110,27702,9,2016
110,27703,9,2016
110,27709,9,2016
23,2771,9,2016
23,2772,9,2016
23,27730,9,2016
23,27731,9,2016
23,27739,9,2016
23,2775,9,2016
23,2776,9,2016
23,27781,9,2016
23,27782,9,2016
23,27783,9,2016
23,27784,9,2016
23,27785,9,2016
23,27786,9,2016
23,27787,9,2016
23,27789,9,2016
22,27801,9,2016
22,27803,9,2016
47,27900,9,2016
47,27901,9,2016
47,27902,9,2016
47,27903,9,2016
47,27904,9,2016
47,27905,9,2016
47,27906,9,2016
47,27909,9,2016
47,27910,9,2016
47,27911,9,2016
47,27912,9,2016
47,27913,9,2016
47,27919,9,2016
47,2792,9,2016
47,2793,9,2016
47,27941,9,2016
47,27949,9,2016
47,27950,9,2016
47,27951,9,2016
47,27952,9,2016
47,27953,9,2016
47,2798,9,2016
47,2799,9,2016
48,2820,9,2016
48,2821,9,2016
48,2822,9,2016
48,2823,9,2016
46,28241,9,2016
46,28242,9,2016
48,28243,9,2016
48,28244,9,2016
48,28245,9,2016
48,28247,9,2016
48,28249,9,2016
48,2825,9,2016
46,28260,9,2016
46,28261,9,2016
46,28262,9,2016
46,28263,9,2016
46,28264,9,2016
46,28268,9,2016
46,28269,9,2016
48,2827,9,2016
48,2828,9,2016
48,2829,9,2016
46,2830,9,2016
46,28310,9,2016
46,28311,9,2016
46,28319,9,2016
46,2832,9,2016
46,2839,9,2016
46,28401,9,2016
46,28409,9,2016
47,28411,9,2016
47,28412,9,2016
47,28419,9,2016
46,2842,9,2016
46,28481,9,2016
46,28489,9,2016
46,2849,9,2016
48,2850,9,2016
46,2860,9,2016
46,2861,9,2016
48,2862,9,2016
48,2863,9,2016
48,2864,9,2016
48,28652,9,2016
48,28653,9,2016
48,28659,9,2016
48,2866,9,2016
48,2867,9,2016
48,2869,9,2016
48,2870,9,2016
48,2871,9,2016
48,2872,9,2016
48,28730,9,2016
48,28731,9,2016
48,28732,9,2016
48,28733,9,2016
48,28739,9,2016
48,2875,9,2016
48,2878,9,2016
48,2879,9,2016
47,28800,9,2016
47,28801,9,2016
47,28802,9,2016
47,28803,9,2016
47,28804,9,2016
47,28809,9,2016
47,2881,9,2016
47,2882,9,2016
47,2884,9,2016
46,28952,9,2016
48,28981,9,2016
48,28982,9,2016
46,28983,9,2016
48,28984,9,2016
52,2900,9,2016
52,29010,9,2016
51,29011,9,2016
51,29012,9,2016
51,29013,9,2016
51,29020,9,2016
51,29021,9,2016
51,2903,9,2016
52,29040,9,2016
51,29041,9,2016
51,29042,9,2016
51,29043,9,2016
52,2908,9,2016
52,2909,9,2016
54,2910,9,2016
54,2911,9,2016
54,2912,9,2016
54,2913,9,2016
54,2914,9,2016
54,2915,9,2016
54,29181,9,2016
54,29182,9,2016
54,29189,9,2016
54,2919,9,2016
54,2920,9,2016
54,29211,9,2016
54,29212,9,2016
54,2922,9,2016
54,29281,9,2016
54,29282,9,2016
54,29283,9,2016
54,29284,9,2016
54,29285,9,2016
54,29289,9,2016
54,2929,9,2016
52,2940,9,2016
52,29410,9,2016
51,29411,9,2016
52,29420,9,2016
51,29421,9,2016
52,2948,9,2016
52,2949,9,2016
57,29500,9,2016
57,29501,9,2016
57,29502,9,2016
57,29503,9,2016
57,29504,9,2016
57,29505,9,2016
57,29510,9,2016
57,29511,9,2016
57,29512,9,2016
57,29513,9,2016
57,29514,9,2016
57,29515,9,2016
57,29520,9,2016
57,29521,9,2016
57,29522,9,2016
57,29523,9,2016
57,29524,9,2016
57,29525,9,2016
57,29530,9,2016
57,29531,9,2016
57,29532,9,2016
57,29533,9,2016
57,29534,9,2016
57,29535,9,2016
57,29540,9,2016
57,29541,9,2016
57,29542,9,2016
57,29543,9,2016
57,29544,9,2016
57,29545,9,2016
57,29550,9,2016
57,29551,9,2016
57,29552,9,2016
57,29553,9,2016
57,29554,9,2016
57,29555,9,2016
57,29560,9,2016
57,29561,9,2016
57,29562,9,2016
57,29563,9,2016
57,29564,9,2016
57,29565,9,2016
57,29570,9,2016
57,29571,9,2016
57,29572,9,2016
57,29573,9,2016
57,29574,9,2016
57,29575,9,2016
57,29580,9,2016
57,29581,9,2016
57,29582,9,2016
57,29583,9,2016
57,29584,9,2016
57,29585,9,2016
57,29590,9,2016
57,29591,9,2016
57,29592,9,2016
57,29593,9,2016
57,29594,9,2016
57,29595,9,2016
58,29600,9,2016
58,29601,9,2016
58,29602,9,2016
58,29603,9,2016
58,29604,9,2016
58,29605,9,2016
58,29606,9,2016
58,29610,9,2016
58,29611,9,2016
58,29612,9,2016
58,29613,9,2016
58,29614,9,2016
58,29615,9,2016
58,29616,9,2016
58,29620,9,2016
58,29621,9,2016
58,29622,9,2016
58,29623,9,2016
58,29624,9,2016
58,29625,9,2016
58,29626,9,2016
58,29630,9,2016
58,29631,9,2016
58,29632,9,2016
58,29633,9,2016
58,29634,9,2016
58,29635,9,2016
58,29636,9,2016
58,29640,9,2016
58,29641,9,2016
58,29642,9,2016
58,29643,9,2016
58,29644,9,2016
58,29645,9,2016
58,29646,9,2016
58,29650,9,2016
58,29651,9,2016
58,29652,9,2016
58,29653,9,2016
58,29654,9,2016
58,29655,9,2016
58,29656,9,2016
58,29660,9,2016
58,29661,9,2016
58,29662,9,2016
58,29663,9,2016
58,29664,9,2016
58,29665,9,2016
58,29666,9,2016
58,2967,9,2016
58,29680,9,2016
58,29681,9,2016
58,29682,9,2016
58,29689,9,2016
58,29690,9,2016
58,29699,9,2016
58,2970,9,2016
58,2971,9,2016
58,2972,9,2016
58,2973,9,2016
58,2978,9,2016
58,2979,9,2016
55,30300,9,2016
55,30301,9,2016
55,30302,9,2016
55,30303,9,2016
55,30390,9,2016
55,30391,9,2016
55,30392,9,2016
55,30393,9,2016
55,30400,9,2016
55,30401,9,2016
55,30402,9,2016
55,30403,9,2016
55,30410,9,2016
55,30411,9,2016
55,30412,9,2016
55,30413,9,2016
55,30420,9,2016
55,30421,9,2016
55,30422,9,2016
55,30423,9,2016
55,30430,9,2016
55,30431,9,2016
55,30432,9,2016
55,30433,9,2016
55,30440,9,2016
55,30441,9,2016
55,30442,9,2016
55,30443,9,2016
55,30450,9,2016
55,30451,9,2016
55,30452,9,2016
55,30453,9,2016
55,30460,9,2016
55,30461,9,2016
55,30462,9,2016
55,30463,9,2016
55,30470,9,2016
55,30471,9,2016
55,30472,9,2016
55,30473,9,2016
55,30480,9,2016
55,30481,9,2016
55,30482,9,2016
55,30483,9,2016
55,30490,9,2016
55,30491,9,2016
55,30492,9,2016
55,30493,9,2016
6,3210,9,2016
72,32302,9,2016
72,32342,9,2016
72,32352,9,2016
72,32363,9,2016
72,32372,9,2016
72,32382,9,2016
52,3300,9,2016
52,3301,9,2016
52,3302,9,2016
52,3303,9,2016
52,3308,9,2016
52,3309,9,2016
52,3310,9,2016
52,33111,9,2016
52,33119,9,2016
52,3312,9,2016
51,3313,9,2016
51,3314,9,2016
51,3315,9,2016
52,3316,9,2016
52,3317,9,2016
52,33181,9,2016
52,33182,9,2016
52,33189,9,2016
52,3319,9,2016
78,3320,9,2016
78,3321,9,2016
78,3330,9,2016
78,3334,9,2016
74,33371,9,2016
72,3340,9,2016
72,3341,9,2016
72,3342,9,2016
72,3343,9,2016
72,3344,9,2016
72,3348,9,2016
72,3349,9,2016
72,3350,9,2016
72,33510,9,2016
72,33511,9,2016
72,33519,9,2016
73,33520,9,2016
73,33521,9,2016
73,33522,9,2016
73,33523,9,2016
73,33524,9,2016
73,33529,9,2016
72,3358,9,2016
72,3359,9,2016
72,3360,9,2016
72,3361,9,2016
72,3362,9,2016
72,3363,9,2016
72,3368,9,2016
72,3369,9,2016
75,33700,9,2016
75,33701,9,2016
75,33709,9,2016
75,3371,9,2016
75,33720,9,2016
75,33721,9,2016
75,33722,9,2016
75,33729,9,2016
75,3373,9,2016
75,3379,9,2016
77,340,9,2016
77,3410,9,2016
77,3411,9,2016
72,34120,9,2016
72,34121,9,2016
72,34122,9,2016
77,3418,9,2016
77,3419,9,2016
103,34200,9,2016
103,34201,9,2016
103,34202,9,2016
103,34210,9,2016
103,34211,9,2016
103,34212,9,2016
103,34280,9,2016
103,34281,9,2016
103,34282,9,2016
103,34290,9,2016
103,34291,9,2016
103,34292,9,2016
74,3430,9,2016
74,3431,9,2016
74,3432,9,2016
74,3433,9,2016
74,3434,9,2016
74,3438,9,2016
74,3439,9,2016
70,34400,9,2016
70,34401,9,2016
70,34402,9,2016
70,34403,9,2016
70,34404,9,2016
70,34409,9,2016
71,3441,9,2016
104,3442,9,2016
104,34430,9,2016
104,34431,9,2016
104,34432,9,2016
104,34440,9,2016
104,34441,9,2016
104,34442,9,2016
104,3445,9,2016
72,34460,9,2016
72,34461,9,2016
104,34481,9,2016
104,34489,9,2016
104,3449,9,2016
79,34500,9,2016
79,34501,9,2016
79,34510,9,2016
79,34511,9,2016
79,3452,9,2016
79,3453,9,2016
79,34540,9,2016
79,34541,9,2016
79,34550,9,2016
79,34551,9,2016
79,34560,9,2016
79,34561,9,2016
79,34570,9,2016
79,34571,9,2016
79,34580,9,2016
